,class_description,num_inventions,ratio
1,"Drug, bio-affecting and body treating compositions",463237,0.05103432092427319
2,Surgery,323618,0.03565264620242217
3,Chemistry: molecular biology and microbiology,212612,0.023423234845989356
4,Multiplex communications,203007,0.02236506235010141
5,"Active solid-state devices (e.g., transistors, solid-state diodes)",197979,0.021811133010244607
6,Synthetic resins or natural rubbers -- part of the class 520 series,173660,0.01913193499592926
7,Organic compounds -- part of the class 532-570 series,169432,0.018666140793678947
8,"Data processing: financial, business practice, management, or cost/price determination",166485,0.018341472980521033
9,Stock material or miscellaneous articles,153431,0.0169033278726271
10,Computer graphics processing and selective visual display systems,149603,0.016481601239180035
11,Telecommunications,148699,0.016382008533684697
12,Electrical computers and digital processing systems: multicomputer data transferring,132898,0.014641229397034473
13,Semiconductor device manufacturing: process,127248,0.014018774987688623
14,Data processing: database and file management or data structures,110921,0.01222004699806213
15,Television,96874,0.010672504150614137
16,Image analysis,92920,0.01023689623299405
17,Communications: electrical,91017,0.010027244774412606
18,Pulse or digital communications,86940,0.009578086079385522
19,Electricity: electrical systems and devices,77238,0.00850922719806279
20,Radiant energy,76686,0.00844841395311431
21,Optical: systems and elements,75363,0.008302660469297575
22,"Data processing: vehicles, navigation, and relative location",73587,0.008107000463811161
23,Electricity: measuring and testing,70085,0.007721188898938742
24,Static information storage and retrieval,68393,0.007534783082901012
25,"Chemistry: electrical current producing apparatus, product, and process",66827,0.007362258551036304
26,"Recording, communication, or information retrieval equipment",66572,0.007334165475924235
27,Facsimile and static presentation processing,66544,0.007331080746108007
28,Electrical connectors,65445,0.007210005100821089
29,"Radiation imagery chemistry: process, composition, or product thereof",63922,0.00704221783260273
30,Internal-combustion engines,63588,0.00700542141265202
31,Liquid purification or separation,63578,0.007004319723431938
32,"Data processing: presentation processing of document, operator interface processing, and screen saver display processing",61781,0.006806346170583355
33,Electrical computers and digital processing systems: support,59940,0.006603525185166416
34,Illumination,59864,0.006595152347093799
35,Adhesive bonding and miscellaneous chemical manufacture,57113,0.0062920776426494745
36,Amusement devices: games,55100,0.006070307602647139
37,Electrical computers and digital processing systems: memory,54278,0.005979748748756468
38,Coating processes,54047,0.005954299727772594
39,Land vehicles,52980,0.005836749487989935
40,Plastic and nonmetallic article shaping or treating: processes,52750,0.005811410635928068
41,Information security,51680,0.005693529889379385
42,Optics: measuring and testing,51169,0.005637233570233238
43,"Data processing: measuring, calibrating, or testing",50153,0.005525301945472994
44,Incremental printing of symbolic information,49788,0.005485090288940031
45,Error detection/correction and fault detection/recovery,48276,0.005318514878863762
46,Compositions,48053,0.005293947209255952
47,"Prosthesis (i.e., artificial body members), parts thereof, or aids and accessories therefor",47932,0.00528061676969297
48,"Food or edible material: processes, compositions, and products",47870,0.0052737862965284675
49,Data processing: generic control systems or specific applications,46908,0.005167803793556661
50,Electric heating,46519,0.005124948082895504
51,Furnishings,46336,0.005104787170168019
52,Optical waveguides,45982,0.005065787371777146
53,Electrical generator or motor structure,45797,0.005045406121205645
54,"Chemical apparatus and process disinfecting, deodorizing, preserving, or sterilizing",44610,0.004914635610782012
55,Wells,41907,0.004616849014594077
56,Dynamic magnetic information storage or retrieval,41659,0.004589527121936065
57,Measuring and testing,41626,0.004585891547509797
58,Telephonic communications,39742,0.004378333298446508
59,Electrical audio signal processing systems and devices,38673,0.004260562720819833
60,Transportation,38429,0.004233681503849853
61,Chemistry: electrical and wave energy,37073,0.004084292445606849
62,Electrophotography,36340,0.004003538625774901
63,Fluid handling,36284,0.003997369166142446
64,"Surgery: light, thermal, and electrical application",36157,0.003983377713047416
65,Special receptacle or package,35886,0.003953521935183216
66,Multicellular living organisms and unmodified parts thereof and related processes,35382,0.0038979967984911264
67,Registers,35304,0.0038894036225744933
68,"Liquid crystal cells, elements and systems",34964,0.003851946189091734
69,"Miscellaneous active electrical nonlinear devices, circuits, and systems",34805,0.003834429330492444
70,Supports,34242,0.003772404227401875
71,Chemistry of inorganic compounds,33897,0.0037343959493090755
72,Dynamic information storage or retrieval,33893,0.003733955273621043
73,Tools and hardware,33632,0.0037052011849769253
74,Interactive video distribution systems,32886,0.003623015169158871
75,Metal working,32857,0.003619820270420636
76,Electrical transmission or interconnection systems,32817,0.0036154135135403115
77,Electrical computers and digital data processing systems: input/output,32263,0.0035543799307478155
78,"Data processing: speech signal processing, linguistics, language translation, and audio compression/decompression",32262,0.0035542697618258074
79,Equipment for preparing or serving food or drink not elsewhere specified,31480,0.0034681176648154615
80,"Data processing: software development, installation, and management",31378,0.003456880434770634
81,Electric lamp and discharge devices: systems,31256,0.0034434398262856436
82,Environmental heating and cooling; fluid handling and sanitary equipment,30042,0.003309694754967792
83,Packages and containers for goods,29880,0.0032918473896024775
84,Electricity: conductors and insulators,29796,0.0032825932001537958
85,Communications: radio wave antennas,29301,0.003228059583759779
86,"Games, toys, and sports goods",28778,0.0031704412375495347
87,Electric lamp and discharge devices,28630,0.0031541362370923337
88,Chemistry: natural resins or derivatives; peptides or proteins; lignins or reaction products thereof,27970,0.0030814247485669776
89,Dispensing,27650,0.003046170693524381
90,Electricity: motive power systems,27549,0.0030350436324015615
91,Receptacles,27271,0.0030044166720833054
92,Medical and laboratory equipment,27096,0.002985137110731885
93,"Static structures (e.g., buildings)",26952,0.0029692727859627166
94,Chemistry: analytical and immunological testing,26808,0.002953408461193548
95,Land vehicles: bodies and tops,26192,0.002885544405236549
96,Plants,25912,0.002854697107074277
97,Chairs and seats,25787,0.0028409259918232626
98,Power plants,25731,0.0028347565321908083
99,Motor vehicles,25419,0.002800383828524276
100,Pumps,25412,0.0027996126460702194
101,Lighting,25005,0.0027547738948129168
102,Games using tangible projectile,24672,0.0027180876437842144
103,"Fluid sprinkling, spraying, and diffusing",24206,0.0026667489261284327
104,Heat exchange,23798,0.002621800005949122
105,Material or article handling,23482,0.0025869866265945574
106,Animal husbandry,23363,0.002573876524875592
107,"Equipment for production, distribution, or transformation of energy",23341,0.002571452808591413
108,Aeronautics and astronautics,23173,0.00255294442969405
109,Photocopying,22951,0.0025284869290082483
110,Apparel and haberdashery,22939,0.002527164901944151
111,"Communications: directive radio wave systems and devices (e.g., radar, radio navigation)",22912,0.0025241903410499317
112,Electricity: battery or capacitor charging or discharging,22312,0.002458088987845063
113,Coherent light generators,22293,0.0024559957783269084
114,Plastic article or earthenware shaping or treating: apparatus,21927,0.0024156739528719386
115,Compositions: coating or plastic,21556,0.002374801282806928
116,Coating apparatus,21475,0.0023658776001242703
117,Rotary kinetic fluid motors or pumps,21215,0.0023372336804021606
118,Metal treatment,21197,0.0023352506398060147
119,"Catalyst, solid sorbent, or support therefor: product or process of making",21129,0.0023277591531094626
120,Cleaning and liquid contact with solids,20977,0.002311013476964229
121,X-ray or gamma ray systems or devices,20729,0.0022836915843062167
122,"Measuring, testing, or signalling instruments",20317,0.002238301988438873
123,Electric power conversion systems,20069,0.0022109800957808606
124,Coded data generation or conversion,19935,0.0021962174602317736
125,Batteries: thermoelectric and photoelectric,19520,0.0021504973575984057
126,"Data processing: structural design, modeling, simulation, and emulation",19223,0.0021177771877619956
127,Education and demonstration,18890,0.002081090936733293
128,Exercise devices,18641,0.0020536588751532726
129,Conveyors: power-driven,18524,0.002040769111278323
130,Computer-aided design and analysis of circuits and semiconductor masks,18362,0.0020229217459130085
131,Dentistry,18325,0.002018845495798708
132,Data processing: artificial intelligence,18059,0.0019895405625445497
133,"Winding, tensioning, or guiding",18008,0.001983921947522136
134,"Cleaning compositions for solid surfaces, auxiliary compositions therefor, or processes of preparing the compositions",17606,0.0019396340408748733
135,Optical communications,17587,0.0019375408313567193
136,Cryptography,17382,0.0019149562023450556
137,Amplifiers,17298,0.001905702012896374
138,Wave transmission lines and networks,17235,0.0018987613708098627
139,Abrading,16975,0.0018701174510877528
140,Hydraulic and earth engineering,16858,0.0018572276872128033
141,Motion video signal processing for recording or reproducing,16678,0.0018373972812513427
142,Travel goods and personal belongings,16615,0.0018304566391648314
143,Machine element or mechanism,16513,0.0018192194091200037
144,"Fluid reaction surfaces (i.e., impellers)",16391,0.0018057788006350137
145,Electricity: circuit makers and breakers,16268,0.0017922280232280155
146,Electricity: power supply or regulation systems,16094,0.0017730586307986036
147,Printing,15903,0.0017520163666950536
148,Brakes,15723,0.0017321859607335927
149,"Optics: eye examining, vision testing and correcting",15680,0.001727448697087244
150,Machines not elsewhere specified,15607,0.0017194063657806516
151,Pipe joints or couplings,15431,0.0017000166355072232
152,Boring or penetrating the earth,15293,0.0016848133242701035
153,Refrigeration,15292,0.0016847031553480951
154,"Brushing, scrubbing, and general cleaning",14725,0.001622237376569494
155,Apparel,14696,0.0016190424778312587
156,Mineral oils: processes and products,14664,0.001615517072326999
157,Electrical computers and digital processing systems: virtual machine task or process management or task management/control,14424,0.0015890765310450513
158,Sheet feeding or delivering,14374,0.0015835680849446455
159,Valves and valve actuation,14288,0.0015740935576519478
160,Chemistry of hydrocarbon compounds,14082,0.001551398759718276
161,"Electrolysis: processes, compositions used therein, and methods of preparing the compositions",14023,0.0015448987933197973
162,Paper making and fiber liberation,13681,0.001507221021993022
163,"Electrical computers and digital processing systems: processing architectures and instruction processing (e.g., processors)",13562,0.0014941109202740563
164,Package and article carriers,13423,0.0014787974401149282
165,192 clutches and power-stop control,13375,0.0014735093318585387
166,"Jewelry, symbolic insignia, and ornaments",13289,0.0014640348045658407
167,"Communications, electrical: acoustic wave systems and devices",13240,0.001458636527387443
168,Ships,13224,0.0014568738246353134
169,Stoves and furnaces,13180,0.0014520263920669563
170,Electronic digital logic circuitry,12846,0.0014152299721162458
171,Supports: racks,12717,0.001401018181177199
172,Bearings,12706,0.0013998063230351097
173,Photography,12703,0.0013994758162690854
174,Photography and optical equipment,12069,0.0013296287197159405
175,Joints and connections,11950,0.0013165186179969748
176,Metal fusion bonding,11746,0.0012940441579073192
177,Seal for a joint or juncture,11714,0.0012905187524030596
178,"Fluent material handling, with receiver or receiver coacting means",11647,0.0012831374346285159
179,Solid material comminution or disintegration,11553,0.001272781555959753
180,"Fabric (woven, knitted, or nonwoven textile or cloth, etc.)",11552,0.001272671387037745
181,Oscillators,11525,0.0012696968261435258
182,Planetary gear transmission systems or components,11318,0.0012468918592878461
183,Amusement devices: toys,11201,0.0012340020954128967
184,Supports: cabinet structure,11158,0.0012292648317665477
185,Agitating,11155,0.0012289343250005233
186,Building units and construction elements,11079,0.0012205614869279066
187,Typewriting machines,11048,0.001217146250345655
188,Metal founding,11022,0.001214281858373444
189,Beds,10951,0.0012064598649108678
190,Compositions: ceramic,10872,0.0011977565200722267
191,Resilient tires and wheels,10838,0.001194010776723951
192,Chemistry of carbon compounds,10821,0.0011921379050498129
193,Optics: image projectors,10796,0.00118938368199961
194,Closure fasteners,10414,0.00114729915379251
195,Office supplies; artists and teachers materials,10223,0.00112625688968896
196,"Expanded, threaded, driven, headed, tool-deformed, or locked-threaded fastener",10031,0.001105104456663402
197,"Classifying, separating, and assorting solids",9642,0.0010622487460022452
198,"Washing, cleaning, or drying machine",9602,0.0010578419891219206
199,"Flexible or portable closure, partition, or panel",9347,0.0010297489140098513
200,"Induced nuclear reactions: processes, systems, and elements",9236,0.0010175201636669505
201,"Electricity: magnetically operated switches, magnets, and electromagnets",9221,0.001015867629836829
202,Combustion,9010,0.0009926219872931166
203,Prime-mover dynamo plants,8917,0.0009823762775463618
204,Etching a substrate: processes,8890,0.0009794017166521428
205,Toilet,8865,0.00097664749360194
206,Bottles and jars,8861,0.0009762068179139074
207,Ammunition and explosives,8801,0.0009695966825934205
208,Handling: hand and hoist-line implements,8794,0.0009688255001393637
209,"Baths, closets, sinks, and spittoons",8754,0.000964418743259039
210,"Surgery: splint, brace, or bandage",8753,0.0009643085743370309
211,Coating implements with material supply,8720,0.0009606729999107632
212,Music,8719,0.0009605628309887551
213,Fluid-pressure and analogous brake systems,8591,0.0009464612089717163
214,Cosmetic products and toilet articles,8567,0.0009438171548435216
215,Elongated-member-driving apparatus,8549,0.0009418341142473755
216,Plant protecting and regulating compositions,8404,0.0009258596205561988
217,Inductor devices,8342,0.0009190291473916957
218,Thermal measuring and testing,8322,0.0009168257689515334
219,Endless belt power transmission systems or components,8318,0.0009163850932635009
220,Electrical computers: arithmetic processing and calculating,8297,0.0009140715459013305
221,Cutting,8257,0.0009096647890210059
222,"Buckles, buttons, clasps, etc.",8185,0.0009017326266364216
223,Surgery: kinesitherapy,8176,0.0009007411063383485
224,Horology: time measuring systems or devices,8101,0.0008924784371877399
225,"Envelopes, wrappers, and paperboard boxes",8099,0.0008922580993437237
226,Tools,8034,0.0008850971194131963
227,Tobacco,7951,0.0008759530988865227
228,Pipes and tubular conduits,7839,0.0008636141796216138
229,Recorders,7835,0.0008631735039335813
230,Foods and beverages: apparatus,7778,0.0008568938753791188
231,Rotary expansible chamber devices,7762,0.000855131172626989
232,"Fire escape, ladder, or scaffold",7685,0.0008466481656323641
233,Package making,7465,0.0008224110027905787
234,Ventilation,7454,0.0008211991446484896
235,Acoustics,7436,0.0008192161040523435
236,Printing and office machinery,7403,0.0008155805296260756
237,"Solid anti-friction devices, materials therefor, lubricant or separant compositions for moving solid surfaces, and miscellaneous mineral oil compositions",7286,0.0008026907657511262
238,Electrical computers and digital processing systems: interprogram communication or interprocess communication (ipc),7173,0.0007902416775642092
239,"Card, picture, or sign exhibiting",7154,0.0007881484680460551
240,"Road structure, process, or apparatus",7090,0.0007810976570375356
241,"Arms, pyrotechnics, hunting and fishing equipment",7070,0.0007788942785973734
242,Material or article handling equipment,6844,0.0007539961022235394
243,Horizontally supported planar surfaces,6782,0.0007471656290590362
244,"Elevator, industrial lift truck, or stationary lift for vehicle",6747,0.0007433097167887522
245,Spring devices,6700,0.0007381317774543708
246,Marine propulsion,6548,0.0007213861013091373
247,"Single-crystal, oriented-crystal, and epitaxy growth processes; non-coating apparatus therefor",6530,0.0007194030607129912
248,Drying and gas or vapor contact with solids,6472,0.0007130132632365206
249,Article dispensing,6432,0.000708606506356196
250,Implements or apparatus for applying pushing or pulling force,6410,0.0007061827900720174
251,Gas separation,6407,0.0007058522833059931
252,Manufacturing container or tube from paper; or other manufacturing from a sheet or web,6098,0.0006718100864054855
253,Gas and liquid contact apparatus,6083,0.0006701575525753638
254,Movable or removable closures,5926,0.0006528610318200898
255,Sewing,5898,0.0006497763020038625
256,Work holders,5892,0.0006491152884718138
257,"Interrelated power delivery controls, including engine control",5867,0.000646361065421611
258,"Tent, canopy, umbrella, or cane",5839,0.0006432763356053838
259,Cutting by use of rotating axially moving tool,5790,0.000637878058426986
260,Alloys or metallic compositions,5741,0.0006324797812485884
261,Bleaching and dyeing; fluid treatment and chemical modification of textiles and fibers,5542,0.0006105561657689736
262,Tool driving or impacting,5541,0.0006104459968469655
263,Flexible bags,5481,0.0006038358615264786
264,Gas separation: processes,5439,0.0005992087668021377
265,"Boots, shoes, and leggings",5349,0.0005892935638214074
266,"Rotary shafts, gudgeons, housings, and flexible couplings for rotary shafts",5169,0.0005694631578599467
267,Earth working,5086,0.0005603191373332731
268,"Earth boring, well treating, and oil field chemistry",5041,0.0005553615358429079
269,Mechanical guns and projectors,4957,0.0005461073463942262
270,Harvesters,4919,0.0005419209273579179
271,Metallurgical apparatus,4881,0.0005377345083216095
272,Brushware,4738,0.0005219803524744491
273,Furnaces,4686,0.0005162515685300271
274,Cutlery,4667,0.0005141583590118729
275,"Combinatorial chemistry technology: method, library, apparatus",4613,0.0005082092372234347
276,Presses,4589,0.00050556518309524
277,Glass manufacturing,4560,0.0005023702843570046
278,"Gear cutting, milling, or planing",4527,0.0004987347099307368
279,Woodworking,4477,0.0004932262638303311
280,Electric resistance heating devices,4416,0.00048650595958783604
281,Land vehicles: wheels and axles,4358,0.00048011616211136534
282,"Miscellaneous hardware (e.g., bushing, carpet fastener, caster, door closer, panel hanger, attachable or adjunct handle, hinge, window sash balance, etc.)",4355,0.000479785655345341
283,Heating,4296,0.0004732856889468622
284,Automatic temperature and humidity regulation,4269,0.0004703111280526431
285,Powder metallurgy processes,4228,0.0004657942022503104
286,Sales and advertising equipment,4041,0.0004451926138347929
287,Weighing scales,3977,0.0004381418028262735
288,Plant husbandry,3967,0.00043704011360619236
289,"Fishing, trapping, and vermin destroying",3967,0.00043704011360619236
290,Printed matter,3949,0.0004350570730100463
291,"Buoys, rafts, and aquatic devices",3928,0.0004327435256478759
292,Railways,3916,0.0004314214985837785
293,"Specialized metallurgical processes, compositions for use therein, consolidated metal powder compositions, and loose metal particulate mixtures",3913,0.00043109099181775414
294,Textiles: weaving,3902,0.0004298791336756649
295,"Cutters, for shaping",3899,0.00042954862690964055
296,Liquid heaters and vaporizers,3899,0.00042954862690964055
297,Electrical resistors,3871,0.0004264638970934133
298,Railway rolling stock,3856,0.0004248113632632916
299,Geometrical instruments,3831,0.00042205714021308874
300,Electric lamp or space discharge component or device manufacturing,3796,0.0004182012279428047
301,Firearms,3645,0.00040156572071957934
302,Fire extinguishers,3571,0.00039341322049097884
303,Freight accommodation on freight carrier,3544,0.0003904386595967597
304,"Equipment for safety, protection, and rescue",3518,0.00038757426762454873
305,Mining or in situ disintegration of hard material,3470,0.0003822861593681592
306,Gas separation: apparatus,3380,0.00037237095638742885
307,Ordnance,3348,0.0003688455508831692
308,"Record receiver having plural interactive leaves or a colorless color former, method of use, or developer therefor",3297,0.0003632269358607553
309,Signals and indicators,3259,0.00035904051682444693
310,Conveyors: fluid current,3238,0.0003567269694622765
311,Sheet-material associating,3201,0.00035265071934797624
312,Electricity: electrothermally or thermally actuated switches,3182,0.00035055750982982206
313,"Distillation: processes, separatory",3153,0.0003473626110915867
314,"Superconductor technology: apparatus, material, process",3143,0.0003462609218715056
315,Dynamic optical information storage or retrieval,3134,0.00034526940157343254
316,Butchering,3034,0.00033425250937262107
317,Textiles: fluid treating apparatus,3033,0.0003341423404506129
318,Fences,2993,0.00032973558357028834
319,Fuel and related compositions,2922,0.00032191359010771216
320,Lubrication,2824,0.0003111170357509169
321,Check-actuated control mechanisms,2791,0.0003074814613246491
322,Gas: heating and illuminating,2716,0.00029921879217404047
323,Planting,2715,0.00029910862325203236
324,Excavating,2683,0.00029558321774777265
325,Explosive and thermic compositions or charges,2675,0.00029470186637170774
326,"Electrical pulse counters, pulse dividers, or shift registers: circuits and systems",2489,0.00027421044687819834
327,"Abrasive tool making process, material, or composition",2480,0.00027321892658012533
328,Apparel apparatus,2468,0.00027189689951602795
329,Static molds,2429,0.00026760031155771143
330,Chucks or sockets,2321,0.000255702067980835
331,Tobacco and smokers' supplies,2298,0.00025316818277464835
332,Edible products,2282,0.00025140548002251854
333,Textiles: knitting,2217,0.00024424450009199105
334,Imperforate bowl: centrifugal separators,2209,0.00024336314871592612
335,Vehicle fenders,2125,0.00023410895926724446
336,Chemistry: fischer-tropsch processes; or purification or recovery of products thereof,2109,0.00023234625651511462
337,Electricity: single generator systems,2082,0.00022937169562089552
338,Amusement devices,2074,0.0002284903442448306
339,Textile or paper yard goods; sheet material,2043,0.00022507510766257903
340,Traversing hoists,2043,0.00022507510766257903
341,Trunks and hand-carried luggage,2026,0.00022320223598844106
342,Advancing material of indeterminate length,2002,0.00022055818186024633
343,Distillation: apparatus,1980,0.00021813446557606778
344,Metal deforming,1977,0.00021780395881004343
345,Miscellaneous,1957,0.00021560058036988115
346,Musical instruments,1914,0.00021086331672353218
347,Hazardous or toxic waste destruction or containment,1842,0.0002029311543389479
348,Foundation garments,1828,0.0002013887894308343
349,"Books, strips, and leaves",1780,0.00019610068117444478
350,High-voltage switches with arc preventing or extinguishing devices,1769,0.0001948888230323555
351,Colloid systems and wetting agents; subcombinations thereof; processes of,1765,0.00019444814734432305
352,Heating systems,1757,0.00019356679596825813
353,Binder device releasably engaging aperture or notch of sheet,1746,0.00019235493782616888
354,Severing by tearing or breaking,1745,0.00019224476890416074
355,Stone working,1741,0.0001918040932161283
356,"Purses, wallets, and protective covers",1741,0.0001918040932161283
357,Industrial electric heating furnaces,1725,0.00019004139046399846
358,Telegraphy,1701,0.0001873973363358037
359,Wheel substitutes for land vehicles,1555,0.0001713126737226189
360,"Sugar, starch, and carbohydrates",1470,0.00016194831535192911
361,Chemistry: fertilizers,1452,0.00015996527475578304
362,Railway switches and signals,1429,0.0001574313895495964
363,Locks,1408,0.00015511784218742597
364,Railways: surface track,1383,0.0001523636191372231
365,Modulators,1353,0.00014905855147697965
366,Crop threshing or separating,1327,0.00014619415950476865
367,Wireworking,1239,0.00013649929436805453
368,Bookbinding: process and apparatus,1237,0.00013627895652403832
369,Perfume compositions,1234,0.00013594844975801397
370,Jewelry,1169,0.00012878746982748648
371,Roll or roller,1159,0.00012768578060740534
372,Turning,1146,0.00012625358462129983
373,Demodulators,1136,0.0001251518954012187
374,Deposit and collection receptacles,1076,0.00011854176008073178
375,Optics: motion pictures,1015,0.00011182145583823677
376,Textiles: ironing or smoothing,984,0.0001084062192559852
377,Textiles: fiber preparation,975,0.00010741469895791216
378,"Distillation: processes, thermolytic",907,9.992321226136034e-05
379,Tool changing,906,9.981304333935222e-05
380,"Conveyors, chutes, skids, guides, and ways",904,9.9592705495336e-05
381,Electricity: transmission to vehicles,894,9.849101627525484e-05
382,"Textiles: spinning, twisting, and twining",884,9.73893270551737e-05
383,"Scanning-probe techniques or apparatus; applications of scanning-probe techniques, e.g., scanning probe microscopy [spm]",781,8.604192808833784e-05
384,Coin handling,762,8.394871857018366e-05
385,Wheelwright machines,740,8.152500228600513e-05
386,"Safes, bank protection, or a related device",729,8.031314414391587e-05
387,Friction gear transmission systems or components,719,7.921145492383471e-05
388,Concentrating evaporators,710,7.821993462576168e-05
389,Land vehicles: dumping,703,7.744875217170488e-05
390,Expansible chamber devices,695,7.656740079563995e-05
391,Motors: expansible chamber type,689,7.590638726359126e-05
392,Railway draft appliances,679,7.480469804351012e-05
393,Compound tools,652,7.183013714929101e-05
394,Electricity: motor control systems,600,6.610135320486902e-05
395,Bridges,528,5.816919082028474e-05
396,Sheet metal container making,468,5.155905549979784e-05
397,Merchandising,450,4.9576014903651766e-05
398,Farriery,419,4.61607783214002e-05
399,Harness for working animal,416,4.5830271555375856e-05
400,"Brush, broom, and mop making",401,4.417773772525413e-05
401,Textiles: manufacturing,388,4.2745541739148636e-05
402,Boot and shoe making,372,4.09828389870188e-05
403,"Threaded, headed fastener, or washer making: process and apparatus",333,3.668625102870231e-05
404,Unearthing plants or buried objects,287,3.161848061632902e-05
405,Knots and knot tying,283,3.117780492829656e-05
406,Ammunition and explosive-charge making,253,2.7872737268053106e-05
407,Bee culture,237,2.6110034515923264e-05
408,"Motors: spring, weight, or animal powered",214,2.357614930973662e-05
409,"Metal tools and implements, making",206,2.26947979336717e-05
410,Mineral oils: apparatus,203,2.2364291167647354e-05
411,Nanotechnology,168,1.8508378897363327e-05
412,Undertaking,158,1.7406689677282178e-05
413,"Books, strips, and leaves for manifolding",139,1.531348015912799e-05
414,Railway wheels and axles,122,1.3440608484990035e-05
415,Tuners,115,1.266942603093323e-05
416,Wooden receptacles,102,1.1237230044827735e-05
417,Chemistry: physical processes,97,1.0686385434787159e-05
418,"Textiles: braiding, netting, and lace making",92,1.0135540824746585e-05
419,Track sanders,87,9.584696214706009e-06
420,Wood turning,68,7.491486696551823e-06
421,"Selective cutting (e.g., punching)",65,7.1609799305274774e-06
422,Textiles: cloth finishing,53,5.838952866430097e-06
423,Wire fabrics and structure,45,4.957601490365177e-06
424,Leather manufactures,45,4.957601490365177e-06
425,Whips and whip apparatus,28,3.0847298162272213e-06
426,Coopering,25,2.754223050202876e-06
427,Robots,21,2.313547362170416e-06
428,Electric lamp and discharge devices: consumable electrodes,21,2.313547362170416e-06
429,Needle and pin making,17,1.8728716741379557e-06
430,"Chain, staple, and horseshoe making",17,1.8728716741379557e-06
431,Railway mail delivery,15,1.6525338301217256e-06
432,Peptide or protein sequence,13,1.4321959861054955e-06
433,Electronic funds transfer,13,1.4321959861054955e-06
434,Land vehicles: animal draft appliances,10,1.1016892200811505e-06
435,Button making,5,5.508446100405752e-07
436,Type casting,5,5.508446100405752e-07
437,Hybrid electric vehicles (hevs),5,5.508446100405752e-07
438,Typesetting,4,4.406756880324602e-07
439,"Organic compounds containing a bi, sb, as, or p atom or containing a metal atom of the 6th to 8th group of the periodic system",1,1.1016892200811505e-07
